Date,Item_ID,Item_Name,Quantity,Use_By_Date,Price
2024-02-01,101,Apples,4,2024-02-10,3.50
2024-02-01,102,Bread,1,2024-02-05,1.20
2024-02-01,103,Milk,2,2024-02-08,2.30
2024-02-08,104,Chicken Breast,2,2024-02-15,5.75
2024-02-08,105,Rice,1,2025-02-08,2.50
2024-02-08,106,Orange Juice,3,2024-02-12,3.00
2024-02-15,107,Tomatoes,5,2024-02-20,2.10
2024-02-15,108,Cheese,1,2024-02-25,4.50
2024-02-15,109,Pasta,2,2025-02-15,1.80
2024-02-22,110,Salmon Fillet,2,2024-02-28,7.90
2024-02-22,111,Yogurt,4,2024-02-27,2.20
2024-02-22,112,Spinach,2,2024-02-26,1.50
2024-02-29,113,Beef Mince,3,2024-03-06,6.30
2024-02-29,114,Butter,1,2024-03-15,2.80
2024-02-29,115,Potatoes,6,2024-03-10,3.00
2024-03-07,116,Carrots,4,2024-03-14,2.40
2024-03-07,117,Chicken Thighs,3,2024-03-15,5.60
2024-03-07,118,Whole Wheat Bread,2,2024-03-12,1.50
2024-03-14,119,Strawberries,2,2024-03-18,3.90
2024-03-14,120,Eggs,1,2024-04-01,3.20
2024-03-14,121,Oatmeal,1,2025-03-14,2.70
2024-03-21,122,Ground Turkey,2,2024-03-28,6.10
2024-03-21,123,Blueberries,1,2024-03-25,4.00
2024-03-21,124,Broccoli,3,2024-03-26,2.30
2024-03-28,125,Pork Chops,2,2024-04-04,7.20
2024-03-28,126,Greek Yogurt,3,2024-04-02,3.00
2024-03-28,127,Almond Milk,2,2024-04-06,2.90
2024-04-04,128,Green Peppers,4,2024-04-10,2.00
2024-04-04,129,Cauliflower,1,2024-04-11,2.80
2024-04-04,130,Quinoa,1,2025-04-04,4.50
